229567730066391040,false,gun_mech,EU,42,gearing
428120932729618432,false,CorrectionOfficer,EU,51419,Farragut
253358016022183937,false,Mitobot1,NA,143046,Marseille
311956067598860288,true,brodie007,EU,161849,Des Moines
168925576780840961,false,M_A_S_H_E_E_N,NA,205434,Ohio
419222641254203402,false,TheM1ks,EU,211496,Gascogne
206417647200501760,true,Iron_Harvest,NA,221467,Preussen
328939850332110850,false,Unlooky,NA,222536,Conqueror
250630929347772417,false,P1nky1980,EU,226021,Jinan
855861369558269982,false,takomaru,EU,239512,Marlborough
241653315199434752,false,antispiraI,EU,247186,Forrest Sherman
266239703013916672,false,Pompeii88,SEA,253386,Thunderer
435563395073441814,false,shipinabottle,NA,273661,ZAO
951329702365237288,false,Miami Mateo,NA,278921,Grosser Kurfurst
408329384462647296,false,Dunkerque_prpr,EU,279535,Tromp
641659555637362699,true,_Captain_Alfra_,EU,292778,Vermont
246742477564936212,false,Akari_Watanabe,NA,310174,Montana
265313574606471169,true,KingT1GER,NA,316427,Cristoforo Colombo
278984293135679488,false,MalteseKnight_,EU,317503,Missouri
188648611649814528,true,PolishFemboy_prpr,EU,323198,Gouden Leeuw
379307327221661696,true,SmokeScreenSet,NA,368079,Minotaur
480953973327659009,true,arice12180,NA,388421,Colbert
312772648138702849,true,John_The_Ruthless,NA,492979,Colbert
